source,pin,surface,feature,target,implementation,pathExists,declaredDisposition,behaviorEvidence,workflowEvidence,liveVerifiedThisAudit
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_viewport,get_viewport,packages/mcp/src/tools/get-viewport.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_fonts,get_fonts,packages/mcp/src/tools/get-fonts.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_fonts,get_fonts,packages/mcp/src/tools/get-fonts.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_annotations,get_annotations,packages/mcp/src/tools/get-annotations.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_annotations,get_annotations,packages/mcp/src/tools/get-annotations.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_reactions,get_reactions,packages/mcp/src/tools/get-reactions.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_reactions,get_reactions,packages/mcp/src/tools/get-reactions.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_motion_styles,get_motion_styles,packages/mcp/src/tools/get-motion-styles.ts,True,experimental-native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_node_motion,get_node_motion,packages/mcp/src/tools/get-node-motion.ts,True,experimental-native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,list_files,list_files,packages/mcp/src/tools/list-files.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_design_context,get_design_context,packages/mcp/src/tools/get-design-context.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_design_context,get_design_context,packages/mcp/src/tools/get-design-context.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_screenshot,get_screenshot,packages/mcp/src/tools/get-screenshot.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_screenshot,get_screenshot,packages/mcp/src/tools/get-screenshot.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,save_screenshots,save_screenshots,packages/mcp/src/tools/save-screenshots.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,save_screenshots,save_screenshots,packages/mcp/src/tools/save-screenshots.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,save_image_fills,save_image_fills,packages/mcp/src/tools/save-image-fills.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,export_pdf,export_pdf,packages/mcp/src/tools/export-pdf.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,export_video,export_video,packages/mcp/src/tools/export-video.ts,True,experimental-native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,analyze_project,analyze_project,packages/mcp/src/tools/analyze-project.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,scan_components,scan_components,packages/mcp/src/tools/scan-components.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,component_map,component_map,packages/mcp/src/tools/component-map.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,token_map,token_map,packages/mcp/src/tools/token-map.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,icon_map,icon_map,packages/mcp/src/tools/icon-map.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,design_diff,design_diff,packages/mcp/src/tools/design-diff.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_fills,set_fills,packages/mcp/src/tools/set-fills.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_fills,set_fills,packages/mcp/src/tools/set-fills.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_text,set_text,packages/mcp/src/tools/set-text.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_text,set_text,packages/mcp/src/tools/set-text.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_text_properties,set_text_properties,packages/mcp/src/tools/set-text-properties.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_text_range,set_text_range,packages/mcp/src/tools/set-text-range.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,create_frame,create_frame,packages/mcp/src/tools/create-frame.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,create_frame,create_frame,packages/mcp/src/tools/create-frame.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_opacity,set_opacity,packages/mcp/src/tools/set-opacity.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_opacity,set_opacity,packages/mcp/src/tools/set-opacity.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_visible,set_visible,packages/mcp/src/tools/set-visible.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_visible,set_visible,packages/mcp/src/tools/set-visible.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,rename_node,rename_node,packages/mcp/src/tools/rename-node.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,rename_node,rename_node,packages/mcp/src/tools/rename-node.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,delete_nodes,delete_nodes,packages/mcp/src/tools/delete-nodes.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,delete_nodes,delete_nodes,packages/mcp/src/tools/delete-nodes.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,create_text,create_text,packages/mcp/src/tools/create-text.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,create_text,create_text,packages/mcp/src/tools/create-text.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,create_rectangle,create_rectangle,packages/mcp/src/tools/create-rectangle.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,create_rectangle,create_rectangle,packages/mcp/src/tools/create-rectangle.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_corner_radius,set_corner_radius,packages/mcp/src/tools/set-corner-radius.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_corner_radius,set_corner_radius,packages/mcp/src/tools/set-corner-radius.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_strokes,set_strokes,packages/mcp/src/tools/set-strokes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_strokes,set_strokes,packages/mcp/src/tools/set-strokes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,move_nodes,move_nodes,packages/mcp/src/tools/move-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,move_nodes,move_nodes,packages/mcp/src/tools/move-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_position,set_position,packages/mcp/src/tools/set-position.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,resize_nodes,resize_nodes,packages/mcp/src/tools/resize-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,resize_nodes,resize_nodes,packages/mcp/src/tools/resize-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_auto_layout,set_auto_layout,packages/mcp/src/tools/set-auto-layout.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_auto_layout,set_auto_layout,packages/mcp/src/tools/set-auto-layout.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_layout_props,set_layout_props,packages/mcp/src/tools/set-layout-props.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_layout_grids,set_layout_grids,packages/mcp/src/tools/set-layout-grids.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_blend_mode,set_blend_mode,packages/mcp/src/tools/set-blend-mode.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_blend_mode,set_blend_mode,packages/mcp/src/tools/set-blend-mode.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_mask,set_mask,packages/mcp/src/tools/set-mask.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_arc,set_arc,packages/mcp/src/tools/set-arc.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_constraints,set_constraints,packages/mcp/src/tools/set-constraints.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_constraints,set_constraints,packages/mcp/src/tools/set-constraints.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,rotate_nodes,rotate_nodes,packages/mcp/src/tools/rotate-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,rotate_nodes,rotate_nodes,packages/mcp/src/tools/rotate-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,lock_nodes,lock_nodes,packages/mcp/src/tools/lock-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,lock_nodes,lock_nodes,packages/mcp/src/tools/lock-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,unlock_nodes,unlock_nodes,packages/mcp/src/tools/unlock-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,unlock_nodes,unlock_nodes,packages/mcp/src/tools/unlock-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,clone_node,clone_node,packages/mcp/src/tools/clone-node.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,clone_node,clone_node,packages/mcp/src/tools/clone-node.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_effects,set_effects,packages/mcp/src/tools/set-effects.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_effects,set_effects,packages/mcp/src/tools/set-effects.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,create_paint_style,create_paint_style,packages/mcp/src/tools/create-paint-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,create_paint_style,create_paint_style,packages/mcp/src/tools/create-paint-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,create_text_style,create_text_style,packages/mcp/src/tools/create-text-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,create_text_style,create_text_style,packages/mcp/src/tools/create-text-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,create_effect_style,create_effect_style,packages/mcp/src/tools/create-effect-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,create_effect_style,create_effect_style,packages/mcp/src/tools/create-effect-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,create_grid_style,create_grid_style,packages/mcp/src/tools/create-grid-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,create_grid_style,create_grid_style,packages/mcp/src/tools/create-grid-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,update_paint_style,update_paint_style,packages/mcp/src/tools/update-paint-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,update_paint_style,update_paint_style,packages/mcp/src/tools/update-paint-style.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,update_text_style,update_text_style,packages/mcp/src/tools/update-text-style.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,update_effect_style,update_effect_style,packages/mcp/src/tools/update-effect-style.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,apply_style_to_node,apply_style_to_node,packages/mcp/src/tools/apply-style-to-node.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,apply_style_to_node,apply_style_to_node,packages/mcp/src/tools/apply-style-to-node.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,delete_style,delete_style,packages/mcp/src/tools/delete-style.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,delete_style,delete_style,packages/mcp/src/tools/delete-style.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,create_variable_collection,create_variable_collection,packages/mcp/src/tools/create-variable-collection.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,create_variable_collection,create_variable_collection,packages/mcp/src/tools/create-variable-collection.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,add_variable_mode,add_variable_mode,packages/mcp/src/tools/add-variable-mode.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,add_variable_mode,add_variable_mode,packages/mcp/src/tools/add-variable-mode.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,create_variable,create_variable,packages/mcp/src/tools/create-variable.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,create_variable,create_variable,packages/mcp/src/tools/create-variable.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,set_variable_value,set_variable_value,packages/mcp/src/tools/set-variable-value.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,set_variable_value,set_variable_value,packages/mcp/src/tools/set-variable-value.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
